No,Sector_score,LOCATION_ID,PARA_A,SCORE_A,PARA_B,SCORE_B,TOTAL,numbers,Marks,Money_Value,MONEY_Marks,District,Loss,LOSS_SCORE,History,History_score,Score,Risk
1,3.89,2,0,2,3.72,2,3.72,5,2,0,2,2,0,2,9,6,2.4,1
2,2.37,6,2.51,6,8.59,6,11.1,5.5,4,16.03,6,2,0,2,5,6,4.8,1
3,2.37,2,17.53,6,0,2,17.53,6.5,6,94.75,6,6,0,2,4,6,4.4,1
4,2.36,1,1.71,4,0,2,1.71,6.5,6,88.4,6,6,0,4,4,6,4.4,1
5,3.89,8,10,6,74.26,6,84.26,5.5,4,11.16,6,2,0,2,3,6,4.8,1
6,3.41,2,1.35,4,66.35,6,67.7,5.5,4,27.13,6,2,0,2,3,6,4.6,1
7,55.57,2,6.48,6,43.08,6,49.56,5,2,253.12,6,6,0,2,2,6,4.8,1
8,3.89,9,8.46,6,72.76,6,81.22,5,2,1.4,2,2,1,4,2,6,4.2,1
9,3.89,11,6.67,6,18.02,6,24.69,5.5,4,4.95,2,2,0,2,2,6,4.4,1
10,3.89,21,0,2,20.71,6,20.71,5,2,20.79,6,2,0,2,2,6,4,1
11,3.41,8,8.03,6,94.43,6,102.46,5.5,4,10.65,6,2,0,2,2,6,4.8,1
12,3.41,12,25.4,6,51.74,6,77.14,5,2,12.67,6,6,0,2,2,6,4.8,1
13,2.72,2,4.28,6,1264.63,6,1268.91,5.5,4,58.86,6,6,0,2,2,6,5.2,1
14,2.72,18,5.11,6,53.76,6,58.87,6,6,48.56,6,2,0,2,2,6,5.2,1
15,2.37,27,3.61,6,2.13,6,5.74,5,2,5.41,4,2,1,4,2,6,4.4,1
16,59.85,1,1.94,4,6.69,6,8.63,5.5,4,13.3,6,6,0,2,1,4,4.8,1
17,55.57,19,3.14,6,4.97,6,8.11,5,2,6.41,4,2,0,2,1,4,4,1
18,15.56,2,20.65,6,0,2,0,6,6,397.31,6,6,0,2,1,4,4.2,1
19,3.89,38,0,2,63.13,6,63.13,5,2,14.6,6,2,0,2,1,4,3.8,1
20,3.89,8,15.38,6,40.14,6,55.52,5,2,0.96,2,2,1,4,1,4,4,1
21,3.89,36,10.96,6,41.47,6,52.43,5,2,35.21,6,2,0,2,1,4,4.2,1
22,3.89,16,4.95,6,42.61,6,47.56,5,2,3.46,2,6,0,2,1,4,4.2,1
23,3.89,37,8.54,6,31.63,6,40.17,5,2,41.28,6,2,0,2,1,4,4.2,1
24,3.89,15,6.59,6,23.66,6,30.25,5,2,34.83,6,2,0,2,1,4,4.2,1
25,3.89,3,5.31,6,22.79,6,28.1,5,2,205.19,6,2,0,2,1,4,4.2,1
